epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.73484,2.58714,4.64207,1.95429,0.14111,0.32857,0.11389,0.03327,2.68719,3.1351,2.57811,0.000655738,0.000655738,0.000655738
2,16.7404,2.30083,2.38548,1.94629,0.20759,0.16098,0.10748,0.02907,2.76423,3.23065,2.8041,0.00131368,0.00131368,0.00131368
3,24.814,2.41133,2.2248,2.04249,0.31016,0.25693,0.20983,0.07397,2.71537,2.53293,2.53865,0.00196282,0.00196282,0.00196282
4,32.9305,2.38138,2.02914,1.95073,0.23859,0.38571,0.23806,0.07702,2.53485,2.97438,2.46307,0.0019604,0.0019604,0.0019604
5,40.9647,2.34306,2.03705,2.00668,0.40906,0.20777,0.20871,0.05225,2.8753,3.07955,2.28203,0.0019472,0.0019472,0.0019472
6,49.024,2.37038,2.0077,1.96842,0.66373,0.44286,0.48711,0.13715,2.50671,2.31302,2.27572,0.001934,0.001934,0.001934
7,57.0297,2.30854,1.89112,1.95865,0.58195,0.4,0.47791,0.15624,2.4139,1.88677,2.2344,0.0019208,0.0019208,0.0019208
8,65.157,2.28057,1.94861,1.9503,0.61724,0.39172,0.46588,0.14929,2.39747,2.47487,2.13612,0.0019076,0.0019076,0.0019076
9,73.2829,2.23372,1.86133,1.91357,0.44662,0.5,0.39344,0.12267,2.48056,2.17397,2.22362,0.0018944,0.0018944,0.0018944
10,81.3797,2.2398,1.79829,1.87591,0.55545,0.57143,0.53386,0.15473,2.49657,1.85855,2.23126,0.0018812,0.0018812,0.0018812
11,89.3457,2.20976,1.75706,1.93218,0.63013,0.55981,0.58841,0.21425,2.26103,1.67696,2.04391,0.001868,0.001868,0.001868
12,97.3652,2.2483,1.80143,1.84455,0.54684,0.51429,0.54948,0.19873,2.21751,1.63489,2.06271,0.0018548,0.0018548,0.0018548
13,105.331,2.12031,1.67917,1.83537,0.58386,0.4,0.50597,0.19839,2.3091,1.72464,2.083,0.0018416,0.0018416,0.0018416
14,113.305,2.17954,1.7352,1.84827,0.7461,0.48571,0.59749,0.20098,2.27461,1.62113,1.99712,0.0018284,0.0018284,0.0018284
15,121.267,2.15801,1.74809,1.89665,0.61778,0.50805,0.55479,0.20923,2.26358,1.62517,2.0621,0.0018152,0.0018152,0.0018152
16,129.241,2.16068,1.67617,1.84086,0.66964,0.42857,0.53293,0.16321,2.35538,1.73738,2.16031,0.001802,0.001802,0.001802
17,137.197,2.11746,1.61685,1.84927,0.59251,0.6,0.60188,0.19851,2.31456,1.6772,2.06652,0.0017888,0.0017888,0.0017888
18,145.303,2.098,1.56863,1.84704,0.54134,0.52274,0.54044,0.20212,2.14123,1.7271,1.96744,0.0017756,0.0017756,0.0017756
19,153.159,2.11372,1.60742,1.87886,0.60508,0.48571,0.54717,0.17746,2.28024,1.79184,2.0479,0.0017624,0.0017624,0.0017624
20,161.355,2.10436,1.54718,1.80054,0.63915,0.55714,0.59237,0.23224,2.21676,1.57988,2.00493,0.0017492,0.0017492,0.0017492
21,169.376,2.10344,1.60989,1.85971,0.70108,0.6,0.66227,0.21681,2.22883,1.50109,2.00492,0.001736,0.001736,0.001736
22,177.247,2.05502,1.57789,1.83572,0.67847,0.58571,0.61375,0.22599,2.20611,1.468,2.0075,0.0017228,0.0017228,0.0017228
23,185.38,2.03913,1.47263,1.7846,0.65695,0.6,0.6854,0.20587,2.27031,1.45778,2.06549,0.0017096,0.0017096,0.0017096
24,193.288,2.04774,1.48195,1.80867,0.58034,0.65714,0.6774,0.23389,2.19059,1.45786,1.96599,0.0016964,0.0016964,0.0016964
25,201.196,2.01795,1.46491,1.75528,0.68304,0.58571,0.66684,0.24201,2.18919,1.43994,1.97178,0.0016832,0.0016832,0.0016832
26,209.293,2.04533,1.43824,1.80035,0.7295,0.65714,0.69731,0.23068,2.26981,1.4099,2.03344,0.00167,0.00167,0.00167
27,217.269,2.0447,1.42449,1.78553,0.61829,0.57855,0.61662,0.23201,2.29264,1.58175,2.00777,0.0016568,0.0016568,0.0016568
28,225.247,2.04634,1.45893,1.75524,0.51485,0.58571,0.53279,0.19865,2.33887,1.53219,2.08499,0.0016436,0.0016436,0.0016436
29,233.171,2.03009,1.41623,1.7648,0.74543,0.67143,0.7263,0.23981,2.30597,1.37074,2.03164,0.0016304,0.0016304,0.0016304
30,241.731,1.98911,1.39297,1.71689,0.78735,0.58188,0.68709,0.25971,2.32446,1.4004,2.1109,0.0016172,0.0016172,0.0016172
31,249.805,1.97519,1.42144,1.73162,0.69321,0.57143,0.66147,0.2488,2.24645,1.42313,2.005,0.001604,0.001604,0.001604
32,257.722,1.98845,1.43456,1.74511,0.66411,0.55714,0.62598,0.24003,2.29554,1.53531,2.073,0.0015908,0.0015908,0.0015908
33,265.658,1.91909,1.34969,1.71588,0.70414,0.6,0.67243,0.26758,2.26081,1.35965,2.03781,0.0015776,0.0015776,0.0015776
34,273.771,1.9553,1.33274,1.72053,0.84386,0.7,0.77264,0.24172,2.30231,1.331,2.03497,0.0015644,0.0015644,0.0015644
35,281.877,1.91464,1.34941,1.71705,0.71813,0.71429,0.72622,0.26424,2.26616,1.36687,2.05147,0.0015512,0.0015512,0.0015512
36,289.783,1.89422,1.24323,1.65849,0.72716,0.67143,0.73524,0.27406,2.25755,1.31358,2.03125,0.001538,0.001538,0.001538
37,297.777,1.92001,1.2589,1.6893,0.65976,0.60949,0.66775,0.26195,2.27944,1.35277,2.08168,0.0015248,0.0015248,0.0015248
